user_id,movie_id,rating,timestamp,title,release_date,genres,overview
196,242,3,4/12/1997 15:55,Jungle2Jungle (1997),24/1/1997,Comedy,"The Czech Republic Director Jan Sverák tells in this Oscar winning film the story of the disillusioned Prague man named Cellisten Louka, who after a fictitious marriage with a Russian emigrant must suddenly take responsibility for her son. However it’s not long before the communication barrier is broken between the two new family members."
63,242,3,1/10/1997 23:06,Jungle2Jungle (1997),24/1/1997,Comedy,"The Czech Republic Director Jan Sverák tells in this Oscar winning film the story of the disillusioned Prague man named Cellisten Louka, who after a fictitious marriage with a Russian emigrant must suddenly take responsibility for her son. However it’s not long before the communication barrier is broken between the two new family members."
226,242,5,4/1/1998 4:37,Jungle2Jungle (1997),24/1/1997,Comedy,"The Czech Republic Director Jan Sverák tells in this Oscar winning film the story of the disillusioned Prague man named Cellisten Louka, who after a fictitious marriage with a Russian emigrant must suddenly take responsibility for her son. However it’s not long before the communication barrier is broken between the two new family members."
154,242,3,10/11/1997 5:03,Jungle2Jungle (1997),24/1/1997,Comedy,"The Czech Republic Director Jan Sverák tells in this Oscar winning film the story of the disillusioned Prague man named Cellisten Louka, who after a fictitious marriage with a Russian emigrant must suddenly take responsibility for her son. However it’s not long before the communication barrier is broken between the two new family members."
306,242,5,10/10/1997 17:16,Jungle2Jungle (1997),24/1/1997,Comedy,"The Czech Republic Director Jan Sverák tells in this Oscar winning film the story of the disillusioned Prague man named Cellisten Louka, who after a fictitious marriage with a Russian emigrant must suddenly take responsibility for her son. However it’s not long before the communication barrier is broken between the two new family members."
296,242,4,7/1/1998 18:00,Jungle2Jungle (1997),24/1/1997,Comedy,"The Czech Republic Director Jan Sverák tells in this Oscar winning film the story of the disillusioned Prague man named Cellisten Louka, who after a fictitious marriage with a Russian emigrant must suddenly take responsibility for her son. However it’s not long before the communication barrier is broken between the two new family members."
34,242,5,27/2/1998 17:47,Jungle2Jungle (1997),24/1/1997,Comedy,"The Czech Republic Director Jan Sverák tells in this Oscar winning film the story of the disillusioned Prague man named Cellisten Louka, who after a fictitious marriage with a Russian emigrant must suddenly take responsibility for her son. However it’s not long before the communication barrier is broken between the two new family members."
271,242,4,26/1/1998 19:54,Jungle2Jungle (1997),24/1/1997,Comedy,"The Czech Republic Director Jan Sverák tells in this Oscar winning film the story of the disillusioned Prague man named Cellisten Louka, who after a fictitious marriage with a Russian emigrant must suddenly take responsibility for her son. However it’s not long before the communication barrier is broken between the two new family members."
201,242,4,6/1/1998 18:16,Jungle2Jungle (1997),24/1/1997,Comedy,"The Czech Republic Director Jan Sverák tells in this Oscar winning film the story of the disillusioned Prague man named Cellisten Louka, who after a fictitious marriage with a Russian emigrant must suddenly take responsibility for her son. However it’s not long before the communication barrier is broken between the two new family members."
209,242,4,31/12/1997 17:33,Jungle2Jungle (1997),24/1/1997,Comedy,"The Czech Republic Director Jan Sverák tells in this Oscar winning film the story of the disillusioned Prague man named Cellisten Louka, who after a fictitious marriage with a Russian emigrant must suddenly take responsibility for her son. However it’s not long before the communication barrier is broken between the two new family members."
